Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,148384.0
1,1,0,258000.0
2,1,0,258000.0
3,2,0,98616.0
4,1,1,247000.0
5,1,1,258000.0
6,1,1,258000.0
8,1,2,258000.0
10,1,2,247000.0
11,1,2,258000.0
14,1,3,247000.0
15,1,3,258000.0
16,1,3,258000.0
19,1,4,258000.0
20,1,4,105236.0
21,1,4,258000.0
22,2,4,141764.0
23,1,5,258000.0
24,1,5,258000.0
25,1,5,247000.0
27,1,6,258000.0
28,1,6,258000.0
29,1,6,64003.0
30,1,7,258000.0
31,2,6,182997.0
31,2,7,59554.0
32,1,7,125000.0
33,2,7,193571.0
34,2,7,97600.0
35,2,7,29275.0
35,2,8,110377.0
36,1,8,125000.0
37,2,8,162755.0
38,2,10,256178.0
39,2,8,283868.0
40,2,9,111455.0
41,1,8,81000.0
42,2,9,151091.0
43,1,9,81000.0
44,2,9,183146.0
45,2,9,216965.0
46,2,9,19343.0
46,2,10,152757.0
47,1,10,81000.0
48,2,10,154880.0
49,2,10,56219.0
50,2,10,61966.0
